Product URL,Product Name,Product Price,Rating,Number of Reviews
https://www.amazon.in/Safari-Polyester-Cms-Travel-KRYPTON17DFBLU_Blue/dp/B097L2RSF1,Safari Polyester 24 Cms Travel Bag(KRYPTON17DFBLU_Blue),₹499,3.8,37
https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B09HX54TGF,COSMUS Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Maroon College Bag,"₹1,261",4.2,1406
https://www.amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","₹1,375",4.2,2265
https://www.amazon.in/ADISA-Backpack-Office-College-Travel/dp/B09Y8FMDVB,ADISA Backpack Office Bag College Travel Back Pack 32 Ltrs (Navy Blue),₹499,4.1,192
https://www.amazon.in/Safari-Formal-Backpack-Anti-Theft-VAULT19CBBLK/dp/B07XSTR69N,"Safari 48 Cms Black Formal/Office/Laptop Backpack With Anti-Theft, Lock, Usb And Rfid (Vault19Cbblk)","₹1,197",4.0,870
https://www.amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z,"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable",₹421,4.2,855
https://www.amazon.in/DZert-Kids-Grey-School-Years/dp/B07QD1M3R9,DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),₹225,3.7,3142
https://www.amazon.in/Business-Casual-Resistant-Laptop-Backpack/dp/B0862V2GKH,MI Business Casual 21L Water Resistant Laptop Backpack,₹949,4.4,1351
https://www.amazon.in/PUMA-Laptop-Backpack-IND-Black-CASTLEROCK/dp/B08BV2S9K1,PUMA Laptop Backpack IND II Black-CASTLEROCK,"₹1,149",4.1,74
https://www.amazon.in/Fur-Jaden-Charging-Waterproof-BM36_BlackBlue/dp/B07MXL9KYG,"FUR JADEN 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port Unisex Backpack",₹499,3.9,10258
https://www.amazon.in/Storite-Leather-Laptop-Bag-inch/dp/B081GQJLD2,"Storite PU Leather 14 inch Laptop Messenger Organizer Bag/Shoulder Sling Office Bag for Men, Notebook, Tablet Carrying Handbags For Women - Light Brown",₹999,4.0,1614
https://www.amazon.in/Dynotrek-Sack-pack-Waterproof-Chromebook-Charcoal/dp/B09TNTPK6G,"Dynotrek 13 14 Upto 15.6"" Inch Laptop Casual Sack-pack Rucksack Travel Backpack With USB Charging Port For Men & Women Waterproof Backpack Suitable for Chromebook DT02SCB",₹999,3.8,1141
https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF1XJXY,"Genie Flamenco Laptop Backpack for Women, 16 inches Office Bag, Sky Blue Stylish and Trendy Bag for Office and College",₹719,4.4,1578
https://www.amazon.in/Wildcraft-Polyester-Black-Laptop-8903338054290/dp/B012D4QKHW,Wildcraft 44 cms Polyester Black Laptop Bag (8903338054290),"₹1,549",4.3,667
